year	elevation	dz_dt	msl
2041	0.7133646849999999	0.013364685000000005	0.2822
2042	0.7166830400897	0.003318355089700004	0.2893
2043	0.720112292040858	0.0034292519511580407	0.2963
2044	0.7240154078774796	0.0039031158366216565	0.3034
2045	0.728062253934453	0.004046846056973404	0.3105
2046	0.7277956580166869	-0.00026659591776608503	0.32
2047	0.7316724054058202	0.0038767473891333703	0.3252
2048	0.7335088266194609	0.0018364212136406455	0.3326
2049	0.7354243248975794	0.0019154982781183919	0.3401
2050	0.7391307684809583	0.003706443583378862	0.3458
2051	0.7423100986494707	0.0031793301685124576	0.3521
2052	0.7464183305545964	0.004108231905125688	0.3578
2053	0.7500395294426708	0.0036211988880744503	0.364
2054	0.7528507011667643	0.0028111717240934765	0.371
2055	0.7549640585231449	0.002113357356380568	0.3786
2056	0.7574462103599974	0.0024821518368525015	0.3861
2057	0.7591247568985429	0.0016785465385454508	0.3946
2058	0.7629145040881672	0.0037897471896243557	0.4012
2059	0.7669716691973032	0.004057165109136054	0.4075
2060	0.7676060563799731	0.0006343871826699934	0.4155
2061	0.7695875032066022	0.0019814468266290334	0.4222
2062	0.7703423175807558	0.000754814374153575	0.4303
2063	0.7725491550175527	0.002206837436796983	0.4374
2064	0.7764129268404231	0.0038637718228703493	0.4429
2065	0.7782073022048331	0.0017943753644101056	0.4503
2066	0.7789377017702696	0.0007303995654364117	0.4588
2067	0.7817490696199527	0.0028113678496831216	0.4653
2068	0.7847568591090095	0.003007789489056766	0.4721
2069	0.7846106986245258	-0.0001461604844836999	0.4804
2070	0.7861217830472417	0.0015110844227158042	0.487
2071	0.7887217996647325	0.0026000166174908346	0.4933
2072	0.7896734709868948	0.0009516713221622167	0.5014
2073	0.7904904296004797	0.000816958613584891	0.5097
2074	0.7924642719165905	0.0019738423161108614	0.5174
2075	0.796090368857939	0.0036260969413485344	0.5236
2076	0.7966803091016866	0.000589940243747629	0.5309
2077	0.7957182802364822	-0.000962028865204505	0.5397
2078	0.7954356703365169	-0.00028260989996528683	0.548
2079	0.7969308178701199	0.001495147533603064	0.5547
2080	0.798257364918491	0.0013265470483711053	0.5616
2081	0.7992016948606853	0.0009443299421943194	0.569
2082	0.8017961949465069	0.00259450008582159	0.5751
2083	0.8030520599060607	0.001255864959553817	0.5826
2084	0.804126658839022	0.0010745989329614075	0.5903
2085	0.8054200200941268	0.0012933612551047813	0.5977
2086	0.8092516596947561	0.0038316396006292316	0.6028
2087	0.8114762496906801	0.002224589995923989	0.6097
2088	0.8130529415655562	0.0015766918748760814	0.6175
2089	0.8156282583813895	0.0025753168158332987	0.6243
2090	0.8161705226485941	0.0005422642672045833	0.6314
2091	0.8165962774848209	0.0004257548362267649	0.6387
2092	0.8172066295231083	0.0006103520382873652	0.646
2093	0.8191619428994985	0.001955313376390219	0.6524
2094	0.8220839033432141	0.0029219604437156353	0.6579
2095	0.8229609771445656	0.000877073801351546	0.6653
2096	0.8279910540163314	0.0050300768717658605	0.6685
2097	0.8299218124887057	0.0019307584723741887	0.6749
2098	0.8322402732958112	0.0023184608071055157	0.6814
2099	0.8329878281438068	0.0007475548479955966	0.6878
2100	0.8336250120678049	0.0006371839239981128	0.6943
