year	elevation	dz_dt	msl
2041	0.7143323349999999	0.014332335000000005	0.1291
2042	0.7186145246826999	0.004282189682700002	0.1352
2043	0.7227937768083831	0.0041792521256831805	0.1414
2044	0.7276267603601834	0.004832983551800304	0.1475
2045	0.7325857832091237	0.004959022848940309	0.1536
2046	0.7337039571763332	0.0011181739672094656	0.1616
2047	0.7380572095889123	0.004353252412579077	0.1662
2048	0.7430066656577984	0.0049494560688860476	0.1703
2049	0.7503264899774259	0.0073198243196275345	0.1721
2050	0.7589376782010175	0.008611188223591663	0.1725
2051	0.7657493892154056	0.006811711014388099	0.1747
2052	0.7692974870070238	0.0035480977916182823	0.1805
2053	0.7764871965129855	0.007189709505961629	0.1826
2054	0.7824009922140807	0.005913795701095197	0.1859
2055	0.7874574765533586	0.005056484339277993	0.1899
2056	0.7922341967068606	0.004776720153501998	0.1944
2057	0.7961669973348506	0.003932800627990109	0.1999
2058	0.8011835129526339	0.0050165156177832855	0.2045
2059	0.8039936070664309	0.0028100941137969015	0.2113
2060	0.8043768050529609	0.0003831979865300565	0.2188
2061	0.8047435272122807	0.00036672215931975454	0.2264
2062	0.8085287653322021	0.003785238119921394	0.2307
2063	0.8116376743817314	0.0031089090495292973	0.2361
2064	0.8129480316708485	0.00131035728911712	0.2434
2065	0.8159684294547395	0.0030203977838910096	0.2488
2066	0.8178062013920865	0.0018377719373470303	0.2554
2067	0.8194501226743144	0.0016439212822278756	0.2623
2068	0.8200231306705317	0.0005730079962172434	0.2708
2069	0.8203330972709598	0.0003099666004281506	0.2779
2070	0.8203419180016498	8.820730689968262e-06	0.2853
2071	0.8209311519076391	0.0005892339059892977	0.293
2072	0.8207018433355767	-0.00022930857206240407	0.3017
2073	0.821048997093319	0.00034715375774226715	0.3099
2074	0.8247949786986913	0.003745981605372274	0.3152
2075	0.8275110508293748	0.0027160721306834236	0.3217
2076	0.8271075654270089	-0.00040348540236593926	0.3294
2077	0.8285112543730314	0.0014036889460225088	0.3352
2078	0.83083186960736	0.0023206152343286266	0.3402
2079	0.8312461660841488	0.0004142964767888126	0.3473
2080	0.8334700293447125	0.00222386326056363	0.3526
2081	0.8360786555707299	0.002608626226017423	0.3576
2082	0.839416553876153	0.00333789830542306	0.3622
2083	0.8403234177647928	0.0009068638886397884	0.3693
2084	0.8407575032417834	0.0004340854769906324	0.3769
2085	0.8404428578150475	-0.00031464542673593924	0.3852
2086	0.8421082310159734	0.0016653732009259301	0.3918
2087	0.8437824230768732	0.0016741920608997637	0.3986
2088	0.8451113691878358	0.0013289461109625286	0.406
2089	0.8468565263053004	0.0017451571174646055	0.413
2090	0.8446176446486683	-0.00223888165663211	0.4223
2091	0.8450646355790435	0.0004469909303752846	0.429
2092	0.8437402522031795	-0.0013243833758640041	0.4377
2093	0.8447727624578549	0.0010325102546753953	0.4445
2094	0.8461974612923939	0.0014246988345390406	0.451
2095	0.8471781632823362	0.0009807019899422684	0.4578
2096	0.8514302551891387	0.004252091906802513	0.4613
2097	0.8523053715981154	0.0008751164089766811	0.4683
2098	0.8536771889637979	0.0013718173656824652	0.4753
2099	0.8534014418699983	-0.00027574709379955386	0.4823
2100	0.8531395569749236	-0.0002618848950747671	0.4893
