year	elevation	dz_dt	msl
2041	0.7155902799999999	0.015590280000000007	0.1952
2042	0.7211254546535999	0.005535174653600001	0.2
2043	0.7265349477061658	0.0054094930525658514	0.2049
2044	0.7325718969523634	0.006036949246197545	0.2097
2045	0.7387119811749056	0.006140084222542242	0.2145
2046	0.7413804399750296	0.0026684588001240593	0.2208
2047	0.7453918261265033	0.004011386151473813	0.2256
2048	0.7480421584231312	0.002650332296627854	0.2319
2049	0.7527146002310091	0.004672441807877983	0.2363
2050	0.7564749335774894	0.00376033334648031	0.2416
2051	0.7609817598767137	0.004506826299224306	0.2462
2052	0.7662903359807443	0.0053085761040305894	0.2503
2053	0.7714806563619236	0.00519032038117934	0.2545
2054	0.7750431941561121	0.0035625377941884855	0.2603
2055	0.7789712327639088	0.003928038607796641	0.2656
2056	0.783034504512726	0.004063271748817314	0.271
2057	0.7862666225661674	0.0032321180534413503	0.2774
2058	0.7917732736062445	0.005506651040077055	0.2817
2059	0.796925986254313	0.005152712648068485	0.2863
2060	0.7999006280095017	0.002974641755188653	0.2913
2061	0.8033947704964124	0.0034941424869106797	0.2958
2062	0.8074027023052558	0.0040079318088433735	0.2999
2063	0.8107301372456391	0.003327434940383362	0.3051
2064	0.814312359822591	0.00358222257695186	0.3101
2065	0.8180892870755543	0.003776927252963261	0.3147
2066	0.8215506991733493	0.003461412097795046	0.3196
2067	0.826256077724841	0.00470537855149168	0.3233
2068	0.829726905178477	0.003470827453635997	0.3287
2069	0.8322889520997763	0.0025620469212992384	0.3333
2070	0.8352920454996967	0.0030030933999204835	0.3374
2071	0.8393323395329474	0.004040294033250646	0.3413
2072	0.8420041631323318	0.0026718235993844286	0.3467
2073	0.8450046324261945	0.0030004692938626694	0.3518
2074	0.8493733041784755	0.0043686717522809955	0.356
2075	0.8535831921003963	0.004209887921920934	0.3605
2076	0.8551331216355158	0.0015499295351194212	0.3657
2077	0.8567898456524818	0.0016567240169660866	0.3707
2078	0.8594471681821607	0.0026573225296788383	0.3748
2079	0.8616580620251768	0.0022108938430160617	0.3795
2080	0.8642673515416542	0.0026092895164774154	0.3838
2081	0.8663716261454995	0.0021042746038452405	0.3887
2082	0.868426099036041	0.002054472890541481	0.394
2083	0.871408284885031	0.002982185848989993	0.3984
2084	0.8727947197200341	0.0013864348350031116	0.4044
2085	0.8756679783487816	0.0028732586287475246	0.4088
2086	0.8813378522790996	0.005669873930317965	0.4106
2087	0.8841983777643715	0.0028605254852719707	0.4154
2088	0.8869813343927481	0.002782956628376626	0.4205
2089	0.8885844575984595	0.001603123205711444	0.4268
2090	0.8890381107573383	0.00045365315887884437	0.4325
2091	0.8911482189004983	0.0021101081431600353	0.4366
2092	0.892834434336119	0.0016862154356206535	0.4413
2093	0.8946488064772249	0.0018143721411059384	0.4463
2094	0.8981031243423525	0.003454317865127673	0.4497
2095	0.8989232245899363	0.0008201002475838512	0.4556
2096	0.9027292004465065	0.0038059758565701205	0.4585
2097	0.9037569628975987	0.0010277624510921985	0.4643
2098	0.9052541612848587	0.001497198387260014	0.4701
2099	0.9050082814983568	-0.0002458797865019036	0.476
2100	0.9048881475371297	-0.00012013396122706682	0.4818
